Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
W;knapsacksa.cpp;13;6.817319393157959;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;1.4530978202819824;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.1992738246917725;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;1.0892114639282227;0-9;LSB bit-flip;1
val2;knapsacksa.cpp;15;6.5679826736450195;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;4.3804991245269775;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;6.3955652713775635;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.5897152423858643;0-9;LSB bit-flip;1
valor;knapsacksa.cpp;56;7.537342309951782;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;1.1869568824768066;0-9;LSB bit-flip;1
valor2;knapsacksa.cpp;56;2.950066328048706;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.407442331314087;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;5.483474016189575;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.050570487976074;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;4.18431830406189;0-9;LSB bit-flip;1
valor;knapsacksa.cpp;56;2.801487445831299;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;2.3936538696289062;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;1.9523656368255615;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.7729897499084473;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;6.14406681060791;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.5941202640533447;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;4.255204439163208;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.4174699783325195;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;4.424805164337158;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;2.254631280899048;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;5.350801944732666;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.4908435344696045;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.146524667739868;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;1.8537328243255615;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.741400718688965;0-9;LSB bit-flip;1
valor;knapsacksa.cpp;56;2.177954912185669;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.336801052093506;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;4.407138824462891;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.733322381973267;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;1.2695837020874023;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;6.1992621421813965;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.785471200942993;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;1.720017910003662;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;5.727623224258423;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;6.541475296020508;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;2.631019353866577;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.682486057281494;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;4.479844808578491;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.943281650543213;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;3.6832690238952637;0-9;LSB bit-flip;1
valor2;knapsacksa.cpp;56;1.9089763164520264;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;4.466720819473267;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;3.212446451187134;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;1.8974864482879639;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;4.788472414016724;0-9;LSB bit-flip;1
peso2;knapsacksa.cpp;56;3.3310115337371826;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;4.235551834106445;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;2.435014486312866;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;4.638877868652344;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;3.1804137229919434;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.113224744796753;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;3.649265766143799;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;4.613075017929077;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.98911190032959;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;3.495070695877075;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.770781993865967;0-9;LSB bit-flip;1
valor;knapsacksa.cpp;56;2.3781964778900146;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.125457048416138;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;3.765632152557373;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;2.672248601913452;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;1.9686470031738281;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;6.078016042709351;0-9;LSB bit-flip;1
wt;knapsacksa.cpp;16;0.7864253520965576;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.522432804107666;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;5.589540004730225;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;1.8649911880493164;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;3.1660497188568115;0-9;LSB bit-flip;1
val;knapsacksa.cpp;14;1.6333286762237549;0-9;LSB bit-flip;1
wt;knapsacksa.cpp;16;4.281882286071777;0-9;LSB bit-flip;1
temp2;knapsacksa.cpp;84;2.178628444671631;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;1.921947717666626;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;5.81170129776001;0-9;LSB bit-flip;1
valor;knapsacksa.cpp;56;5.330376863479614;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;1.5575144290924072;0-9;LSB bit-flip;1
n;knapsacksa.cpp;13;2.22956919670105;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;5.166329622268677;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;1.8412446975708008;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;1.708571195602417;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;3.2620785236358643;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;1.7213928699493408;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.782884359359741;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;4.202971935272217;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;1.90865159034729;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;1.9471385478973389;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;7.282978773117065;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.683990478515625;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;1.8776051998138428;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.322181224822998;0-9;LSB bit-flip;1
val2;knapsacksa.cpp;15;5.414060354232788;0-9;LSB bit-flip;1
temp2;knapsacksa.cpp;84;3.7531065940856934;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;3.4351892471313477;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;3.385667085647583;0-9;LSB bit-flip;1
